Title,Year,ActNo
Beedi and Cigar Workers (Conditions of Employment) Act[1966],1966,32
Police Forces (Restriction of Rights) Act[1966],1966,33
Post-Graduate Institute of Medical Education and Research Chandigarh Act[1966],1966,51
Jawaharlal Nehru University Act[1966],1966,53
Seeds Act[1966],1966,54
Land Acquisition (Amendment and Validation) Act[1967],1967,13
Passports Act[1967],1967,15
Court-fees (Delhi Amendment) Act[1967],1967,28
Unlawful Activities (Prevention) Act[1967],1967,37
Jammu and Kashmir Representation of the People (Supplementary) Act[1968],1968,3
Bihar and Uttar Pradesh (Alteration of Boundaries) Act[1968],1968,24
Central Laws (Extension to Jammu and Kashmir) Act[1968],1968,25
Pondicherry (Extension of Laws) Act[1968],1968,26
Civil Defence Act[1968],1968,27
Enemy Property Act[1968],1968,34
Andhra Pradesh and Mysore (Transfer of Territory) Act[1968],1968,36
Insecticides Act[1968],1968,46
Border Security Force Act[1968],1968,47
Central Industrial Security Force Act[1968],1968,50
Judges (Inquiry) Act[1968],1968,51
Legislative Assembly of Nagaland (Change in Representation) Act[1968],1968,61
President (Discharge of Functions) Act[1969],1969,16
Registration of Births and Deaths Act[1969],1969,18
Union Territories (Separation of Judicial and Executive Functions) Act[1969],1969,19
Foreign Marriage Act[1969],1969,33
Bihar Land Reforms Laws (Regulating Mines and Minerals) Validation Act[1969],1969,42
Khuda Bakhsh Oriental Public Library Act[1969],1969,43
Oaths Act[1969],1969,44
Assam Reorganisation (Meghalaya) Act[1969],1969,55
Banking Companies (Acquisition and Transfer of Undertakings) Act[1970],1970,5
Haryana and Punjab Agricultural Universities Act[1970],1970,16
Supreme Court (Enlargement of Criminal Appellate Jurisdiction) Act[1970],1970,28
Contract Labour (Regulation and Abolition) Act[1970],1970,37
Patents Act[1970],1970,39
State of Himachal Pradesh Act[1970],1970,53
Medical Termination of Pregnancy Act[1971],1971,34
Public Premises (Eviction of Unauthorised Occupants) Act[1971],1971,40
Comptroller and Auditor Generals (Duties Powers and Conditions of Service) Act[1971],1971,56
Naval and Aircraft Prize Act[1971],1971,59
Prevention of Insults to National Honour Act[1971],1971,69
Contempt of Courts Act[1971],1971,70
Manipur (Hill Areas District Council) Act[1971],1971,76
North-Eastern Area (Reorganisation) Act[1971],1971,81
Delhi Sikh Gurdwaras Act[1971],1971,82
North-Eastern Council Act[1971],1971,84
Marine Products Export Development Authority Act[1972],1972,13
Departmental Inquiries (Enforcement of Attendance of Witnesses and Production of Documents) Act[1972],1972,18
Architects Act[1972],1972,20
Taxation Laws (Extension to Jammu and Kashmir) Act[1972],1972,25
National Service Act[1972],1972,28
Delhi Lands (Restriction on Transfer) Act[1972],1972,30
Payment of Gratuity Act[1972],1972,39
Diplomatic Relations (Vienna Convention) Act[1972],1972,43
Antiquities and Art Treasures Act[1972],1972,52
Wild Life (Protection) Act[1972],1972,53
General Insurance Business (Nationalisation) Act[1972],1972,57
Former Secretary of State Service Officers (Conditions of Service) Act[1972],1972,59
Carriage by Air Act[1972],1972,69
Richardson and Cruddas Limited (Acquisition and Transfer of Undertakings) Act[1972],1972,78
Diplomatic and Consular Officers (Oaths and Fees)(Extension to Jammu and Kashmir) Act[1973],1973,2
Capital of Punjab Development and Regulation (Chandigarh Amendment) Act[1973],1973,17
Delhi School Education Act[1973],1973,18
North-Eastern Hill University Act[1973],1973,24
Authoritative Texts (Central Laws) Act[1973],1973,50
Delhi Urban Art Commission Act[1973],1973,1974
Code of Criminal Procedure[1973],1973,1974
Water (Prevention and Control of Pollution) Act[1974],1974,6
Economic Offences (Inapplicability of Limitation) Act[1974],1974,12
Coal Mines (Conservation and Development) Act[1974],1974,28
University of Hyderabad Act[1974],1974,39
Interest-tax Act[1974],1974,45
Oil Industry (Development) Act[1974],1974,47
Conservation of Foreign Exchange and Prevention of Smuggling Activities Act[1974],1974,52
East-Punjab Urban Rent Restriction (Extension to Chandigarh) Act[1974],1974,54
Sick Textile Undertakings (Nationalisation) Act[1974],1974,57
Tobacco Board Act[1975],1975,4
Tokyo Convention Act[1975],1975,20
Rampur Raza Library Act[1975],1975,22
Delhi Sales Tax Act[1975],1975,43
Customs Tariff Act[1975],1975,51
Election Laws (Extension to Sikkim) Act[1976],1976,10
Sales Promotion Employees (Conditions of Service) Act[1976],1976,11
Smugglers and Foreign Exchange Manipulators (Forfeiture of Property) Act[1976],1976,13
Bonded Labour System (Abolition) Act[1976],1976,19
Regional Rural Banks Act[1976],1976,21
Equal Remuneration Act[1976],1976,25
Levy Sugar Price Equalisation Fund Act[1976],1976,31
High Court at Patna (Establishment of a Permanent Bench at Ranchi) Act[1976],1976,57
Departmentalisation of Union Accounts (Transfer of Personnel) Act[1976],1976,59
Betwa River Board Act[1976],1976,63
Life Insurance Corporation (Modification of Settlement) Act[1976],1976,72
Disturbed Areas (Special Courts) Act[1976],1976,77
Territorial Waters Continental Shelf Exclusive Economic Zone and Other Maritime Zones Act[1976],1976,80
Metal Corporation (Nationalisation and Miscellaneous Provisions) Act[1976],1976,100
Parliamentary Proceedings (Protection of Publication) Act[1977],1977,15
Salary and Allowances of Leaders of Opposition in Parliament Act[1977],1977,33
